State,District,year,Production(T)
Uttarakhand,Pithoragarh,2021,3929
"West Bengal",Birbhum,2021,6202
"Uttar Pradesh",Amroha,2021,6198
Nagaland,Peren,2021,2976
Nagaland,Longleng,2021,1677
"Uttar Pradesh",Hapur,2021,4164
"Uttar Pradesh",Pilibhit,2021,1111
"Uttar Pradesh",Varanasi,2021,5738
Chhattisgarh,Dantewada,2021,5293
Meghalaya,"West khasi hills",2021,6037
Tripura,"South tripura",2021,4591
Telangana,"Komaram bheem asifabad",2021,2958
Chhattisgarh,Sukma,2021,4897
Manipur,Tamenglong,2021,5860
"Madhya Pradesh",Shajapur,2021,5844
Tripura,Khowai,2021,3536
"West Bengal",Jhargram,2021,5728
"Arunachal Pradesh",Lohit,2021,5708
Haryana,Yamunanagar,2021,5670
"Arunachal Pradesh","West kameng",2021,5660
Assam,Goalpara,2021,5449
Meghalaya,"West jaintia hills",2021,5403
Gujarat,Surat,2021,5363
Karnataka,Bidar,2021,3603
Chhattisgarh,Gaurella-pendra-marwahi,2021,5063
Telangana,Medchal,2021,1851
Assam,"Dima hasao",2021,5159
Bihar,Bhojpur,2021,2024
Meghalaya,"Ri bhoi",2021,5171
"West Bengal","Medinipur west",2021,3748
"Madhya Pradesh",Ujjain,2021,2254
"Madhya Pradesh",Sheopur,2021,1240
Chhattisgarh,Raigarh,2021,4374
"Arunachal Pradesh","East siang",2021,4899
Tripura,"West tripura",2021,4869
"Uttar Pradesh",Balrampur,2021,4107
Tripura,Sepahijala,2021,4857
"Arunachal Pradesh","Papum pare",2021,4856
"Arunachal Pradesh",Tirap,2021,4832
Punjab,Ludhiana,2021,3400
Manipur,Thoubal,2021,4750
Assam,Dhubri,2021,4011
"Uttar Pradesh",Maharajganj,2021,4624
Sikkim,Mangan,2021,4573
Uttarakhand,"Pauri garhwal",2021,4543
Assam,Biswanath,2021,4528
"Arunachal Pradesh",Longding,2021,4370
Telangana,Mancherial,2021,3738
Odisha,Sundargarh,2021,4334
Maharashtra,Yavatmal,2021,4322
Tripura,"North tripura",2021,4183
Maharashtra,Washim,2021,2320
"Arunachal Pradesh","Lower siang",2021,4166
"Arunachal Pradesh",Siang,2021,4156
"Jammu and Kashmir",Pulwama,2021,53756
"Jammu and Kashmir",Samba,2021,53756
Rajasthan,Alwar,2021,3501
"Uttar Pradesh",Lucknow,2021,3980
"Uttar Pradesh",Gorakhpur,2021,1495
"Jammu and Kashmir",Ganderbal,2021,53756
Gujarat,Bhavnagar,2021,3575
Uttarakhand,Almora,2021,3228
"Arunachal Pradesh",Anjaw,2021,3720
Maharashtra,Hingoli,2021,3667
Meghalaya,"South west garo hills",2021,3651
Chhattisgarh,Kabirdham,2021,3630
"Andhra Pradesh","Spsr nellore",2021,2738
"Madhya Pradesh",Katni,2021,1348
Chhattisgarh,Narayanpur,2021,2218
Punjab,Firozepur,2021,1600
"West Bengal",Bankura,2021,3348
"Uttar Pradesh",Kaushambi,2021,575
Assam,Chirang,2021,3321
Odisha,Kandhamal,2021,3319
Uttarakhand,"Tehri garhwal",2021,3296
Bihar,Nawada,2021,2464
Bihar,Gaya,2021,994
"Arunachal Pradesh","East kameng",2021,3205
Manipur,"Imphal west",2021,3180
Mizoram,Serchhip,2021,3162
Maharashtra,Akola,2021,3157
"Arunachal Pradesh","Dibang valley",2021,3104
"Tamil Nadu",Ramanathapuram,2021,2677
Manipur,Bishnupur,2021,2950
Manipur,"Imphal east",2021,2950
"Madhya Pradesh",Damoh,2021,2416
Telangana,Yadadri,2021,960
Odisha,Ganjam,2021,2778
Assam,"West karbi anglong",2021,2739
Rajasthan,Jaipur,2021,1797
"Arunachal Pradesh","Upper siang",2021,2556
Mizoram,Lawngtlai,2021,1309
"Uttar Pradesh",Basti,2021,2534
"Madhya Pradesh",Panna,2021,1434
Punjab,Patiala,2021,53756
Assam,Kokrajhar,2021,2411
"Uttar Pradesh",Mathura,2021,608
Meghalaya,"South west khasi hills",2021,2330
Bihar,Sheikhpura,2021,1400
Tripura,Unakoti,2021,1433
Assam,Tinsukia,2021,2230
"Arunachal Pradesh",Tawang,2021,2223
Gujarat,Kheda,2021,2217
Bihar,Buxar,2021,1220
Assam,Nagaon,2021,1842
"Madhya Pradesh",Gwalior,2021,198
Maharashtra,Gondia,2021,2175
Assam,Nalbari,2021,2150
Maharashtra,Nagpur,2021,1872
Haryana,Ambala,2021,860
Bihar,Madhubani,2021,1564
Telangana,Narayanapet,2021,1536
"Uttar Pradesh","Gautam buddha nagar",2021,2048
Chhattisgarh,Durg,2021,1741
Punjab,Moga,2021,2000
Assam,"Kamrup metro",2021,1981
"Arunachal Pradesh",Changlang,2021,1928
"West Bengal","Paschim bardhaman",2021,1914
Punjab,Gurdaspur,2021,900
Nagaland,Noklak,2021,1891
Haryana,Sonipat,2021,1870
"Arunachal Pradesh","Upper subansiri",2021,1838
Meghalaya,"South garo hills",2021,1794
Uttarakhand,Haridwar,2021,1783
"Uttar Pradesh",Mirzapur,2021,1772
"Uttar Pradesh",Pratapgarh,2021,1519
Meghalaya,"East garo hills",2021,1596
Odisha,Anugul,2021,1592
"West Bengal","24 paraganas north",2021,1491
"Uttar Pradesh","Ambedkar nagar",2021,1575
Assam,Barpeta,2021,1565
Mizoram,Kolasib,2021,1561
Chhattisgarh,Bijapur,2021,1198
Uttarakhand,Champawat,2021,1517
"Uttar Pradesh",Fatehpur,2021,836
Punjab,Fazilka,2021,800
Maharashtra,Chandrapur,2021,1498
"West Bengal","24 paraganas south",2021,721
"Uttar Pradesh",Agra,2021,664
Gujarat,Dang,2021,1411
"Arunachal Pradesh","Lower subansiri",2021,1399
"Uttar Pradesh","Sant kabeer nagar",2021,1368
"Uttar Pradesh",Ghazipur,2021,1364
Assam,Udalguri,2021,1363
Uttarakhand,"Uttar kashi",2021,1348
Chhattisgarh,Raipur,2021,1345
Bihar,Jehanabad,2021,765
"Arunachal Pradesh","Pakke kessang",2021,1331
Odisha,Jharsuguda,2021,1303
Assam,Baksa,2021,1298
Karnataka,Yadgir,2021,537
Haryana,Hisar,2021,90
Telangana,Nalgonda,2021,1241
Odisha,Malkangiri,2021,1241
Mizoram,Aizawl,2021,1079
Odisha,Nayagarh,2021,1207
Assam,Dhemaji,2021,1198
"Uttar Pradesh",Amethi,2021,1087
Mizoram,Mamit,2021,511
Haryana,Karnal,2021,1170
Mizoram,Champhai,2021,1163
"Arunachal Pradesh",Kamle,2021,1140
Chhattisgarh,Bilaspur,2021,716
Gujarat,Mahesana,2021,1123
Punjab,Sangrur,2021,800
Punjab,"Fatehgarh sahib",2021,53756
Chhattisgarh,Janjgir-champa,2021,719
Odisha,Deogarh,2021,1048
"Arunachal Pradesh","West siang",2021,1032
"Uttar Pradesh",Jhansi,2021,1013
Mizoram,Lunglei,2021,832
Chhattisgarh,Bemetara,2021,505
"Madhya Pradesh",Satna,2021,233
Odisha,Mayurbhanj,2021,972
"West Bengal",Hooghly,2021,954
"Arunachal Pradesh",Leparada,2021,958
"Uttar Pradesh","Sant ravidas nagar",2021,956
Maharashtra,Sindhudurg,2021,944
Chhattisgarh,Balod,2021,512
"Uttar Pradesh",Mau,2021,931
Gujarat,Navsari,2021,916
"Uttar Pradesh",Bareilly,2021,912
"Uttar Pradesh",Meerut,2021,897
"Madhya Pradesh",Rewa,2021,549
Maharashtra,Wardha,2021,843
"Uttar Pradesh",Jalaun,2021,21
Uttarakhand,"Rudra prayag",2021,828
Telangana,Suryapet,2021,208
Meghalaya,"East jaintia hills",2021,814
Punjab,Faridkot,2021,800
Punjab,"Tarn taran",2021,800
Maharashtra,Bhandara,2021,774
Mizoram,Saitual,2021,608
Uttarakhand,"Udam singh nagar",2021,763
Assam,Hojai,2021,747
Bihar,"Kaimur (bhabua)",2021,368
Rajasthan,"Sawai madhopur",2021,578
Assam,Lakhimpur,2021,706
"West Bengal","Medinipur east",2021,706
"Uttar Pradesh",Rampur,2021,339
"Uttar Pradesh",Ghaziabad,2021,5
Rajasthan,Dausa,2021,440
Gujarat,Gandhinagar,2021,623
Assam,"South salmara mancachar",2021,588
"Jammu and Kashmir",Shopian,2021,53756
Meghalaya,"North garo hills",2021,577
"West Bengal","Purba bardhaman",2021,195
Mizoram,Saiha,2021,545
"Arunachal Pradesh","Kra daadi",2021,538
Gujarat,Rajkot,2021,47
Haryana,Panipat,2021,130
Uttarakhand,Bageshwar,2021,487
"Arunachal Pradesh","Shi yomi",2021,478
Bihar,Arwal,2021,226
Uttarakhand,Chamoli,2021,462
"Uttar Pradesh","Rae bareli",2021,85
"Arunachal Pradesh","Kurung kumey",2021,437
"Uttar Pradesh",Allahabad,2021,425
Punjab,Mansa,2021,400
Punjab,Barnala,2021,53756
Punjab,Malerkotla,2021,400
Punjab,Bathinda,2021,400
Haryana,Jhajjar,2021,390
"Madhya Pradesh",Niwari,2021,54
Odisha,Sambalpur,2021,366
Assam,Majuli,2021,352
"Uttar Pradesh","Siddharth nagar",2021,340
Haryana,Kaithal,2021,80
Mizoram,Hnahthial,2021,330
"Madhya Pradesh",Tikamgarh,2021,197
"Tamil Nadu",Nagapattinam,2021,53756
"Uttar Pradesh",Shamli,2021,164
Assam,Sivasagar,2021,243
Odisha,Dhenkanal,2021,291
Haryana,Rohtak,2021,290
"Uttar Pradesh",Moradabad,2021,175
Maharashtra,Thane,2021,281
Chhattisgarh,"Baloda bazar",2021,276
"Tamil Nadu",Sivaganga,2021,276
"Tamil Nadu",Mayiladuthurai,2021,271
"West Bengal",Howrah,2021,226
Chhattisgarh,Mahasamund,2021,190
Gujarat,Morbi,2021,53756
Gujarat,Amreli,2021,264
"Madhya Pradesh",Chhatarpur,2021,229
"Himachal Pradesh",Kinnaur,2021,249
Gujarat,Anand,2021,248
Haryana,Fatehabad,2021,60
Assam,Dibrugarh,2021,213
Haryana,Faridabad,2021,90
Karnataka,Udupi,2021,189
Mizoram,Khawzawl,2021,216
Gujarat,Bharuch,2021,84
Haryana,Palwal,2021,210
Odisha,Bargarh,2021,203
Haryana,Sirsa,2021,60
Gujarat,Patan,2021,195
Assam,Jorhat,2021,104
"Uttar Pradesh",Muzaffarnagar,2021,87
Kerala,Palakkad,2021,190
Gujarat,Kachchh,2021,188
"Jammu and Kashmir",Srinagar,2021,53756
Assam,Cachar,2021,177
Assam,Golaghat,2021,173
Haryana,Bhiwani,2021,20
"Uttar Pradesh",Chandauli,2021,164
Haryana,Jind,2021,30
Odisha,Cuttack,2021,153
"Tamil Nadu",Thiruvarur,2021,147
"Uttar Pradesh",Bijnor,2021,53756
Gujarat,"Gir somnath",2021,139
